sample	file
CLC02065	/CLC02065.capture_TE99028370.hg38.cram
CLC00344	/CLC00344.capture_S318.hg38.cram
CLC02080	/CLC02080.capture_TE99028370.hg38.cram
CLC02001	/CLC02001.capture_TE99028370.hg38.cram
CLC01992	/CLC01992.capture_TE99028370.hg38.cram
CCS_2011	/CCS_2011.capture_S318.hg38.cram
CLC01956	/CLC01956.capture_TE99028370.hg38.cram
CLC00340	/CLC00340.capture_S318.hg38.cram
CLC01938	/CLC01938.capture_TE99028370.hg38.cram
CLC00346	/CLC00346.capture_S318.hg38.cram
CLC00300	/CLC00300.capture_S318.hg38.cram
CLC02085	/CLC02085.capture_TE99028370.hg38.cram
CLC02006	/CLC02006.capture_TE99028370.hg38.cram
CLC01969	/CLC01969.capture_TE99028370.hg38.cram
CCS_2012	/CCS_2012.capture_S318.hg38.cram
CLC02070	/CLC02070.capture_TE99028370.hg38.cram
CLC01996	/CLC01996.capture_TE99028370.hg38.cram
CLC02051	/CLC02051.capture_TE99028370.hg38.cram
CLC02069	/CLC02069.capture_TE99028370.hg38.cram
CLC02034	/CLC02034.capture_TE99028370.hg38.cram
CLC01976	/CLC01976.capture_TE99028370.hg38.cram
CLC02022	/CLC02022.capture_TE99028370.hg38.cram
CLC02030	/CLC02030.capture_TE99028370.hg38.cram
CLC02081	/CLC02081.capture_TE99028370.hg38.cram
CLC02040	/CLC02040.capture_TE99028370.hg38.cram
CLC02037	/CLC02037.capture_TE99028370.hg38.cram
CLC01977	/CLC01977.capture_TE99028370.hg38.cram
CCS_0902	/CCS_0902.capture_TE99028370.hg38.cram
CLC02058	/CLC02058.capture_TE99028370.hg38.cram
CCS_1168	/CCS_1168.capture_S318.hg38.cram
FL1250T2	/FL1250T2.capture_S072.hg38.cram
FL1140T1	/FL1140T1.capture_S072.hg38.cram
FL1199T2	/FL1199T2.capture_S072.hg38.cram
FL1207T2	/FL1207T2.capture_S072.hg38.cram
CCS_1879	/CCS_1879.capture_S318.hg38.cram
CCS_1526	/CCS_1526.capture_S318.hg38.cram
FL1240T2	/FL1240T2.capture_S072.hg38.cram
FL1147T2	/FL1147T2.capture_S072.hg38.cram
FL1107T1	/FL1107T1.capture_S072.hg38.cram
FL1107T2	/FL1107T2.capture_S072.hg38.cram
DLC_0053	/DLC_0053.capture_S072.hg38.cram
FL1143T1	/FL1143T1.capture_S072.hg38.cram
FL1106T1	/FL1106T1.capture_S072.hg38.cram
CCS_1014	/CCS_1014.capture_S072.hg38.cram
CCS_1884	/CCS_1884.capture_TE99028370.hg38.cram
CCS_1832	/CCS_1832.capture_S072.hg38.cram
FL1209T1	/FL1209T1.capture_S072.hg38.cram
CLC02009	/CLC02009.capture_TE99028370.hg38.cram
CCS_0388	/CCS_0388.capture_S072.hg38.cram
FL1238T1	/FL1238T1.capture_S072.hg38.cram
CLC01985	/CLC01985.capture_TE99028370.hg38.cram
FL1139T2	/FL1139T2.capture_S072.hg38.cram
FL1124T2	/FL1124T2.capture_S072.hg38.cram
FL1133T2	/FL1133T2.capture_S072.hg38.cram
FL1111T2	/FL1111T2.capture_S072.hg38.cram
GE0187	/GE0187.capture_S072.hg38.cram
FL1142T2	/FL1142T2.capture_S072.hg38.cram
FL1123T2	/FL1123T2.capture_S072.hg38.cram
CCS_0767	/CCS_0767.capture_S318.hg38.cram
DLC_0026	/DLC_0026.capture_S072.hg38.cram
SPECS_4830	/SPECS_4830.capture_S318.hg38.cram
SPECS_4831	/SPECS_4831.capture_S318.hg38.cram
SPECS_4833	/SPECS_4833.capture_S318.hg38.cram
SPECS_4836	/SPECS_4836.capture_S318.hg38.cram
SPECS_4837	/SPECS_4837.capture_S318.hg38.cram
SPECS_4841	/SPECS_4841.capture_S318.hg38.cram
SPECS_4842	/SPECS_4842.capture_S318.hg38.cram
SPECS_4844	/SPECS_4844.capture_S318.hg38.cram
SPECS_4848	/SPECS_4848.capture_S318.hg38.cram
SPECS_4893	/SPECS_4893.capture_S318.hg38.cram
SPECS_4894	/SPECS_4894.capture_S318.hg38.cram
SPECS_4896	/SPECS_4896.capture_S318.hg38.cram
SPECS_4899	/SPECS_4899.capture_S318.hg38.cram
SPECS_4902	/SPECS_4902.capture_S318.hg38.cram
SPECS_4903	/SPECS_4903.capture_S318.hg38.cram
SPECS_4904	/SPECS_4904.capture_S318.hg38.cram
SPECS_4908	/SPECS_4908.capture_S318.hg38.cram
SPECS_4993	/SPECS_4993.capture_S318.hg38.cram
SPECS_5000	/SPECS_5000.capture_S318.hg38.cram
SPECS_5001	/SPECS_5001.capture_S318.hg38.cram
SPECS_5012	/SPECS_5012.capture_S318.hg38.cram
SPECS_5013	/SPECS_5013.capture_S318.hg38.cram
SPECS_5074	/SPECS_5074.capture_S318.hg38.cram
